date,city,aqi,pm25,pm10,temp,humidity,wind_speed,rain,dow,month,is_weekend,is_winter,festival_season,school_day,traffic_level,construction_activity,target_aqi_next_day
2024-02-02,Beijing,132,158.6,104.9,3.7,80,7.6,0.0,4,2,0,1,0,1,2,2,233.0
2024-02-03,Beijing,233,55.9,76.1,30.0,42,11.7,0.0,5,2,1,1,0,0,0,2,162.0
2024-02-04,Beijing,162,200.5,191.4,39.6,56,2.3,0.0,6,2,1,1,0,0,0,2,128.0
2024-02-05,Beijing,128,12.0,68.7,27.2,73,2.2,0.0,0,2,0,1,0,1,2,2,239.0
2024-02-06,Beijing,239,132.8,51.3,-9.1,73,2.8,0.0,1,2,0,1,0,1,2,2,76.0
2024-02-07,Beijing,76,201.7,152.1,14.7,46,3.2,0.0,2,2,0,1,0,1,2,2,36.0
2024-02-08,Beijing,36,97.1,92.4,33.0,38,10.8,0.0,3,2,0,1,0,1,2,2,134.0
2024-02-09,Beijing,134,182.0,17.6,26.0,61,14.5,0.0,4,2,0,1,0,1,2,2,83.0
2024-02-10,Beijing,83,140.9,59.0,24.4,54,11.2,0.0,5,2,1,1,0,0,0,2,255.0
2024-02-11,Beijing,255,206.8,47.3,31.9,31,7.5,0.0,6,2,1,1,0,0,0,2,254.0
2024-02-12,Beijing,254,193.5,247.6,17.5,16,6.8,0.0,0,2,0,1,0,1,2,2,220.0
2024-02-13,Beijing,220,215.2,30.9,37.7,38,4.0,0.0,1,2,0,1,0,1,2,2,253.0
2024-02-14,Beijing,253,83.7,101.3,6.2,18,2.9,0.0,2,2,0,1,0,1,2,2,93.0
2024-02-15,Beijing,93,53.7,72.7,34.4,46,3.2,0.0,3,2,0,1,0,1,2,2,197.0
2024-02-16,Beijing,197,156.5,237.6,-8.1,71,8.7,0.0,4,2,0,1,0,1,2,2,204.0
2024-02-17,Beijing,204,42.8,120.0,-2.7,21,9.5,0.0,5,2,1,1,0,0,0,2,287.0
2024-02-18,Beijing,287,51.0,224.3,37.3,57,12.7,0.0,6,2,1,1,0,0,0,2,241.0
2024-02-19,Beijing,241,40.7,196.0,33.4,81,11.6,0.0,0,2,0,1,0,1,2,2,289.0
2024-02-20,Beijing,289,22.4,191.2,38.1,58,5.8,0.0,1,2,0,1,0,1,2,2,59.0
2024-02-21,Beijing,59,6.2,214.8,28.5,41,8.0,0.0,2,2,0,1,0,1,2,2,107.0
2024-02-22,Beijing,107,67.3,181.5,5.0,49,13.0,0.0,3,2,0,1,0,1,2,2,89.0
2024-02-23,Beijing,89,40.1,270.7,31.4,24,5.3,0.0,4,2,0,1,0,1,2,2,226.0
2024-02-24,Beijing,226,27.4,277.1,19.2,20,3.7,0.0,5,2,1,1,0,0,0,2,261.0
2024-02-25,Beijing,261,53.0,283.4,-5.4,36,3.8,0.0,6,2,1,1,0,0,0,2,156.0
2024-02-26,Beijing,156,119.8,102.1,-8.7,61,2.5,0.0,0,2,0,1,0,1,2,2,83.0
2024-02-27,Beijing,83,155.2,57.0,22.0,56,1.7,0.0,1,2,0,1,0,1,2,2,108.0
2024-02-28,Beijing,108,38.0,242.2,3.6,29,1.1,0.0,2,2,0,1,0,1,2,2,32.0
2024-02-29,Beijing,32,121.4,32.5,-2.3,83,6.2,0.0,3,2,0,1,0,1,2,2,218.0
2024-03-01,Beijing,218,68.2,181.7,39.8,63,1.6,0.0,4,3,0,0,0,1,2,2,186.0
2024-03-02,Beijing,186,215.2,135.8,26.0,62,4.8,0.0,5,3,1,0,0,0,0,2,177.0
2024-03-03,Beijing,177,138.2,15.2,1.2,33,15.0,0.0,6,3,1,0,0,0,0,2,179.0
2024-03-04,Beijing,179,75.9,286.8,1.6,81,10.7,0.0,0,3,0,0,0,1,2,2,201.0
2024-03-05,Beijing,201,43.1,165.9,11.5,60,6.4,0.0,1,3,0,0,0,1,2,2,213.0
2024-03-06,Beijing,213,186.3,152.5,18.2,29,11.0,0.0,2,3,0,0,0,1,2,2,176.0
2024-03-07,Beijing,176,224.2,57.4,5.8,79,0.8,0.0,3,3,0,0,0,1,2,2,54.0
2024-03-08,Beijing,54,153.2,74.8,29.2,40,0.6,0.0,4,3,0,0,0,1,2,2,111.0
2024-03-09,Beijing,111,196.7,12.9,21.0,43,12.0,0.0,5,3,1,0,0,0,0,2,210.0
2024-03-10,Beijing,210,149.0,257.0,1.6,80,5.0,0.0,6,3,1,0,0,0,0,2,234.0
2024-03-11,Beijing,234,119.1,137.8,-0.2,33,1.2,0.0,0,3,0,0,0,1,2,2,220.0
2024-03-12,Beijing,220,87.5,118.2,34.5,16,8.6,0.0,1,3,0,0,0,1,2,2,105.0
2024-03-13,Beijing,105,19.4,55.7,24.2,67,3.5,0.0,2,3,0,0,0,1,2,2,161.0
2024-03-14,Beijing,161,39.4,245.7,-7.8,23,10.2,0.0,3,3,0,0,0,1,2,2,122.0
2024-03-15,Beijing,122,10.6,149.0,22.8,85,13.8,0.0,4,3,0,0,0,1,2,2,30.0
2024-03-16,Beijing,30,153.3,197.1,1.4,22,5.5,0.0,5,3,1,0,0,0,0,2,32.0
2024-03-17,Beijing,32,82.6,257.3,8.5,23,11.1,0.0,6,3,1,0,0,0,0,2,129.0
2024-03-18,Beijing,129,90.1,40.3,5.2,76,7.5,0.0,0,3,0,0,0,1,2,2,47.0
2024-03-19,Beijing,47,248.9,240.6,34.1,44,7.4,0.0,1,3,0,0,0,1,2,2,176.0
2024-03-20,Beijing,176,29.1,257.5,27.3,28,11.4,0.0,2,3,0,0,0,1,2,2,240.0
2024-03-21,Beijing,240,135.6,83.7,21.0,36,7.4,0.0,3,3,0,0,0,1,2,2,93.0
2024-03-22,Beijing,93,241.4,34.2,20.0,60,3.8,0.0,4,3,0,0,0,1,2,2,94.0
2024-03-23,Beijing,94,193.2,206.1,18.3,31,10.8,0.0,5,3,1,0,0,0,0,2,205.0
2024-03-24,Beijing,205,20.3,171.4,27.8,13,2.6,0.0,6,3,1,0,0,0,0,2,68.0
2024-03-25,Beijing,68,173.5,131.2,18.8,85,12.5,0.0,0,3,0,0,0,1,2,2,176.0
2024-03-26,Beijing,176,212.7,110.0,40.0,53,4.5,0.0,1,3,0,0,0,1,2,2,210.0
2024-03-27,Beijing,210,174.7,136.0,-1.7,85,8.6,0.0,2,3,0,0,0,1,2,2,174.0
2024-03-28,Beijing,174,94.4,26.6,3.3,80,8.9,0.0,3,3,0,0,0,1,2,2,189.0
2024-03-29,Beijing,189,173.8,274.8,34.7,72,14.9,0.0,4,3,0,0,0,1,2,2,180.0
2024-03-30,Beijing,180,162.4,77.1,-3.9,36,11.6,0.0,5,3,1,0,0,0,0,2,130.0
2024-03-31,Beijing,130,126.0,234.1,14.9,78,6.3,0.0,6,3,1,0,0,0,0,2,199.0
2024-04-01,Beijing,199,56.4,187.2,-9.0,23,13.1,0.0,0,4,0,0,0,1,2,2,118.0
2024-04-02,Beijing,118,204.8,242.7,-4.1,14,8.9,0.0,1,4,0,0,0,1,2,2,126.0
2024-04-03,Beijing,126,47.8,38.5,23.5,36,8.3,0.0,2,4,0,0,0,1,2,2,73.0
2024-04-04,Beijing,73,186.7,94.5,-0.9,57,3.8,0.0,3,4,0,0,0,1,2,2,189.0
2024-04-05,Beijing,189,133.8,97.3,31.6,77,9.0,0.0,4,4,0,0,0,1,2,2,271.0
2024-04-06,Beijing,271,84.0,125.5,38.1,35,12.0,0.0,5,4,1,0,0,0,0,2,132.0
2024-04-07,Beijing,132,151.3,149.4,-0.9,81,7.2,0.0,6,4,1,0,0,0,0,2,137.0
2024-04-08,Beijing,137,185.1,41.7,22.1,46,4.1,0.0,0,4,0,0,0,1,2,2,258.0
2024-04-09,Beijing,258,21.5,42.9,-0.3,56,5.1,0.0,1,4,0,0,0,1,2,2,114.0
2024-04-10,Beijing,114,174.3,242.0,17.4,43,7.6,0.0,2,4,0,0,0,1,2,2,88.0
2024-04-11,Beijing,88,113.7,138.5,39.7,37,9.8,0.0,3,4,0,0,0,1,2,2,275.0
2024-04-12,Beijing,275,185.9,157.0,15.1,77,4.2,0.0,4,4,0,0,0,1,2,2,299.0
2024-04-13,Beijing,299,157.8,200.1,-0.6,16,9.4,0.0,5,4,1,0,0,0,0,2,125.0
2024-04-14,Beijing,125,248.5,82.2,2.8,41,4.0,0.0,6,4,1,0,0,0,0,2,70.0
2024-04-15,Beijing,70,154.6,29.7,23.1,83,10.1,0.0,0,4,0,0,0,1,2,2,37.0
2024-04-16,Beijing,37,21.4,185.1,7.9,27,14.6,0.0,1,4,0,0,0,1,2,2,47.0
2024-04-17,Beijing,47,101.5,127.5,30.2,58,10.0,0.0,2,4,0,0,0,1,2,2,49.0
2024-04-18,Beijing,49,145.5,159.9,-4.9,71,12.9,0.0,3,4,0,0,0,1,2,2,50.0
2024-04-19,Beijing,50,196.1,212.1,24.7,35,1.3,0.0,4,4,0,0,0,1,2,2,172.0
2024-04-20,Beijing,172,11.1,159.5,31.7,28,5.1,0.0,5,4,1,0,0,0,0,2,182.0
2024-04-21,Beijing,182,213.3,178.5,18.0,11,0.6,0.0,6,4,1,0,0,0,0,2,82.0
2024-04-22,Beijing,82,91.0,186.9,31.7,20,12.0,0.0,0,4,0,0,0,1,2,2,104.0
2024-04-23,Beijing,104,94.5,126.5,-8.0,88,9.1,0.0,1,4,0,0,0,1,2,2,157.0
2024-04-24,Beijing,157,196.2,10.7,10.5,26,12.8,0.0,2,4,0,0,0,1,2,2,174.0
2024-04-25,Beijing,174,216.4,95.7,3.8,54,5.9,0.0,3,4,0,0,0,1,2,2,97.0
2024-04-26,Beijing,97,228.0,193.7,31.4,64,5.8,0.0,4,4,0,0,0,1,2,2,44.0
2024-04-27,Beijing,44,90.7,121.6,36.3,44,15.0,0.0,5,4,1,0,0,0,0,2,163.0
2024-04-28,Beijing,163,9.2,150.8,35.8,53,1.1,0.0,6,4,1,0,0,0,0,2,226.0
2024-04-29,Beijing,226,137.2,11.4,3.6,49,15.0,0.0,0,4,0,0,0,1,2,2,129.0
2024-04-30,Beijing,129,7.2,271.1,-3.1,47,4.2,0.0,1,4,0,0,0,1,2,2,108.0
2024-05-01,Beijing,108,69.5,75.8,7.5,17,10.8,0.0,2,5,0,0,0,1,2,2,277.0
2024-05-02,Beijing,277,103.5,234.6,-2.9,19,13.8,0.0,3,5,0,0,0,1,2,2,125.0
2024-05-03,Beijing,125,69.8,28.0,14.7,62,14.8,0.0,4,5,0,0,0,1,2,2,188.0
2024-05-04,Beijing,188,192.3,119.9,-4.1,44,1.3,0.0,5,5,1,0,0,0,0,2,105.0
2024-05-05,Beijing,105,182.8,173.1,-1.6,77,6.4,0.0,6,5,1,0,0,0,0,2,120.0
2024-05-06,Beijing,120,119.7,135.2,11.3,59,2.0,0.0,0,5,0,0,0,1,2,2,201.0
2024-05-07,Beijing,201,224.9,169.8,33.2,70,3.3,0.0,1,5,0,0,0,1,2,2,130.0
2024-05-08,Beijing,130,168.6,148.4,3.2,78,10.2,0.0,2,5,0,0,0,1,2,2,37.0
2024-05-09,Beijing,37,44.9,24.5,1.3,34,7.6,0.0,3,5,0,0,0,1,2,2,56.0
2024-05-10,Beijing,56,243.2,221.2,18.3,47,11.7,0.0,4,5,0,0,0,1,2,2,36.0
2024-05-11,Beijing,36,110.7,222.4,20.9,30,14.6,0.0,5,5,1,0,0,0,0,2,146.0
2024-05-12,Beijing,146,196.0,184.0,0.1,58,15.0,0.0,6,5,1,0,0,0,0,2,59.0
2024-05-13,Beijing,59,65.5,98.9,-7.8,13,5.2,0.0,0,5,0,0,0,1,2,2,196.0
2024-05-14,Beijing,196,107.0,29.8,7.5,38,3.2,0.0,1,5,0,0,0,1,2,2,102.0
2024-05-15,Beijing,102,29.7,279.0,20.2,81,11.5,0.0,2,5,0,0,0,1,2,2,251.0
2024-05-16,Beijing,251,166.7,237.5,31.8,16,4.2,0.0,3,5,0,0,0,1,2,2,129.0
2024-05-17,Beijing,129,33.4,278.0,13.8,63,1.6,0.0,4,5,0,0,0,1,2,2,73.0
2024-05-18,Beijing,73,248.1,238.2,12.4,90,2.2,0.0,5,5,1,0,0,0,0,2,130.0
2024-05-19,Beijing,130,220.1,280.8,6.2,67,1.8,0.0,6,5,1,0,0,0,0,2,128.0
2024-05-20,Beijing,128,204.4,91.0,9.3,19,9.2,0.0,0,5,0,0,0,1,2,2,97.0
2024-05-21,Beijing,97,22.8,42.1,21.8,11,3.2,0.0,1,5,0,0,0,1,2,2,237.0
2024-05-22,Beijing,237,27.5,181.5,-4.6,28,1.6,0.0,2,5,0,0,0,1,2,2,274.0
2024-05-23,Beijing,274,145.0,282.2,7.8,56,4.7,0.0,3,5,0,0,0,1,2,2,208.0
2024-05-24,Beijing,208,127.9,184.1,17.1,78,9.3,0.0,4,5,0,0,0,1,2,2,35.0
2024-05-25,Beijing,35,50.2,111.4,34.4,68,6.2,0.0,5,5,1,0,0,0,0,2,276.0
2024-05-26,Beijing,276,96.4,238.1,-9.3,70,4.6,0.0,6,5,1,0,0,0,0,2,176.0
2024-05-27,Beijing,176,52.7,217.9,8.3,38,3.5,0.0,0,5,0,0,0,1,2,2,153.0
2024-05-28,Beijing,153,242.3,248.6,-4.9,39,14.6,0.0,1,5,0,0,0,1,2,2,140.0
2024-05-29,Beijing,140,186.7,178.4,13.3,37,0.6,0.0,2,5,0,0,0,1,2,2,261.0
2024-05-30,Beijing,261,96.0,115.4,33.9,76,6.8,0.0,3,5,0,0,0,1,2,2,37.0
2024-05-31,Beijing,37,112.4,48.2,33.0,27,5.9,0.0,4,5,0,0,0,1,2,2,137.0
2024-06-01,Beijing,137,160.6,184.0,22.1,25,3.8,0.0,5,6,1,0,0,0,0,2,209.0
2024-06-02,Beijing,209,233.9,233.6,24.4,33,2.6,0.0,6,6,1,0,0,0,0,2,126.0
2024-06-03,Beijing,126,8.1,244.0,33.5,75,9.9,0.0,0,6,0,0,0,1,2,2,65.0
2024-06-04,Beijing,65,245.5,27.0,30.0,34,10.3,0.0,1,6,0,0,0,1,2,2,187.0
2024-06-05,Beijing,187,96.0,244.7,9.1,24,2.4,0.0,2,6,0,0,0,1,2,2,241.0
2024-06-06,Beijing,241,184.1,141.2,27.0,53,6.7,0.0,3,6,0,0,0,1,2,2,250.0
2024-06-07,Beijing,250,76.5,134.3,25.1,55,12.4,0.0,4,6,0,0,0,1,2,2,209.0
2024-06-08,Beijing,209,189.9,227.4,21.3,32,9.4,0.0,5,6,1,0,0,0,0,2,99.0
2024-06-09,Beijing,99,172.0,298.6,1.2,83,11.8,0.0,6,6,1,0,0,0,0,2,217.0
2024-06-10,Beijing,217,131.8,228.2,-5.8,83,3.8,0.0,0,6,0,0,0,1,2,2,293.0
2024-06-11,Beijing,293,32.6,114.3,12.8,60,10.9,0.0,1,6,0,0,0,1,2,2,276.0
2024-06-12,Beijing,276,18.7,261.2,-8.6,65,8.0,0.0,2,6,0,0,0,1,2,2,54.0
2024-06-13,Beijing,54,207.9,111.7,6.4,65,14.6,0.0,3,6,0,0,0,1,2,2,293.0
2024-06-14,Beijing,293,69.9,174.8,9.0,76,7.8,0.0,4,6,0,0,0,1,2,2,81.0
2024-06-15,Beijing,81,171.9,145.5,10.3,87,14.2,0.0,5,6,1,0,0,0,0,2,148.0
2024-06-16,Beijing,148,50.5,178.2,39.8,89,12.0,0.0,6,6,1,0,0,0,0,2,163.0
2024-06-17,Beijing,163,101.7,176.2,-6.6,56,13.6,0.0,0,6,0,0,0,1,2,2,160.0
2024-06-18,Beijing,160,125.2,107.6,-9.0,46,7.4,0.0,1,6,0,0,0,1,2,2,137.0
2024-06-19,Beijing,137,227.9,224.6,32.2,77,4.9,0.0,2,6,0,0,0,1,2,2,274.0
2024-06-20,Beijing,274,60.9,70.5,14.5,27,2.3,0.0,3,6,0,0,0,1,2,2,157.0
2024-06-21,Beijing,157,232.1,37.6,25.9,11,6.2,0.0,4,6,0,0,0,1,2,2,117.0
2024-06-22,Beijing,117,219.4,202.8,28.1,83,0.9,0.0,5,6,1,0,0,0,0,2,121.0
2024-06-23,Beijing,121,134.8,231.3,19.3,47,12.5,0.0,6,6,1,0,0,0,0,2,141.0
2024-06-24,Beijing,141,152.6,284.6,16.9,90,13.4,0.0,0,6,0,0,0,1,2,2,165.0
2024-06-25,Beijing,165,119.5,206.9,0.2,63,10.3,0.0,1,6,0,0,0,1,2,2,149.0
2024-06-26,Beijing,149,71.0,28.1,29.4,22,13.6,0.0,2,6,0,0,0,1,2,2,218.0
2024-06-27,Beijing,218,39.8,39.4,23.8,63,5.7,0.0,3,6,0,0,0,1,2,2,158.0
2024-06-28,Beijing,158,25.8,135.8,1.6,69,12.2,0.0,4,6,0,0,0,1,2,2,73.0
2024-06-29,Beijing,73,36.5,150.2,36.9,62,6.1,0.0,5,6,1,0,0,0,0,2,58.0
2024-06-30,Beijing,58,48.7,167.8,-5.1,18,5.5,0.0,6,6,1,0,0,0,0,2,30.0
2024-07-01,Beijing,30,98.6,131.9,12.6,27,12.3,0.0,0,7,0,0,0,1,2,2,162.0
2024-07-02,Beijing,162,160.7,83.5,16.6,51,2.9,0.0,1,7,0,0,0,1,2,2,256.0
2024-07-03,Beijing,256,88.5,155.0,-2.0,18,2.2,0.0,2,7,0,0,0,1,2,2,38.0
2024-07-04,Beijing,38,57.0,205.7,1.4,74,9.4,0.0,3,7,0,0,0,1,2,2,191.0
2024-07-05,Beijing,191,21.4,57.6,18.3,21,12.0,0.0,4,7,0,0,0,1,2,2,142.0
2024-07-06,Beijing,142,11.9,196.6,37.9,54,7.7,0.0,5,7,1,0,0,0,0,2,128.0
2024-07-07,Beijing,128,205.7,14.5,28.6,83,3.4,0.0,6,7,1,0,0,0,0,2,276.0
2024-07-08,Beijing,276,208.9,62.2,34.8,42,13.7,0.0,0,7,0,0,0,1,2,2,249.0
2024-07-09,Beijing,249,204.8,62.9,20.2,45,4.7,0.0,1,7,0,0,0,1,2,2,230.0
2024-07-10,Beijing,230,8.8,110.5,25.6,29,1.9,0.0,2,7,0,0,0,1,2,2,170.0
2024-07-11,Beijing,170,68.1,179.5,13.3,82,5.4,0.0,3,7,0,0,0,1,2,2,192.0
2024-07-12,Beijing,192,203.6,222.1,10.0,26,14.1,0.0,4,7,0,0,0,1,2,2,92.0
2024-07-13,Beijing,92,194.1,224.2,25.8,22,7.2,0.0,5,7,1,0,0,0,0,2,35.0
2024-07-14,Beijing,35,42.0,54.1,2.0,40,5.1,0.0,6,7,1,0,0,0,0,2,224.0
2024-07-15,Beijing,224,48.1,278.6,-7.4,35,10.8,0.0,0,7,0,0,0,1,2,2,168.0
2024-07-16,Beijing,168,139.1,276.6,18.0,34,11.3,0.0,1,7,0,0,0,1,2,2,201.0
2024-07-17,Beijing,201,153.2,28.5,20.3,77,6.9,0.0,2,7,0,0,0,1,2,2,225.0
2024-07-18,Beijing,225,243.9,187.9,34.0,70,4.0,0.0,3,7,0,0,0,1,2,2,80.0
2024-07-19,Beijing,80,50.1,219.3,6.4,82,7.3,0.0,4,7,0,0,0,1,2,2,218.0
2024-07-20,Beijing,218,87.1,269.2,0.2,21,9.7,0.0,5,7,1,0,0,0,0,2,34.0
2024-07-21,Beijing,34,120.6,253.5,3.1,49,7.7,0.0,6,7,1,0,0,0,0,2,285.0
2024-07-22,Beijing,285,112.3,189.4,36.0,75,6.9,0.0,0,7,0,0,0,1,2,2,283.0
2024-07-23,Beijing,283,240.6,234.0,-7.0,54,0.6,0.0,1,7,0,0,0,1,2,2,160.0
2024-07-24,Beijing,160,225.1,264.0,7.9,76,3.1,0.0,2,7,0,0,0,1,2,2,79.0
2024-07-25,Beijing,79,120.9,84.1,5.1,87,6.3,0.0,3,7,0,0,0,1,2,2,85.0
2024-07-26,Beijing,85,140.2,105.9,20.0,55,3.1,0.0,4,7,0,0,0,1,2,2,170.0
2024-07-27,Beijing,170,165.4,192.8,37.7,45,12.3,0.0,5,7,1,0,0,0,0,2,251.0
2024-07-28,Beijing,251,240.1,45.8,-6.2,43,11.4,0.0,6,7,1,0,0,0,0,2,232.0
2024-07-29,Beijing,232,119.4,142.1,38.5,45,3.5,0.0,0,7,0,0,0,1,2,2,199.0
2024-07-30,Beijing,199,69.6,273.9,26.2,20,5.0,0.0,1,7,0,0,0,1,2,2,71.0
2024-07-31,Beijing,71,228.0,138.1,5.0,13,5.1,0.0,2,7,0,0,0,1,2,2,131.0
2024-08-01,Beijing,131,91.1,60.1,20.1,74,2.1,0.0,3,8,0,0,0,1,2,2,191.0
2024-08-02,Beijing,191,201.7,187.6,-5.5,47,7.4,0.0,4,8,0,0,0,1,2,2,260.0
2024-08-03,Beijing,260,63.7,167.3,36.4,76,4.4,0.0,5,8,1,0,0,0,0,2,177.0
2024-08-04,Beijing,177,6.1,36.0,38.4,32,4.7,0.0,6,8,1,0,0,0,0,2,88.0
2024-08-05,Beijing,88,160.6,76.5,25.8,30,7.6,0.0,0,8,0,0,0,1,2,2,272.0
2024-08-06,Beijing,272,33.1,95.9,5.4,11,14.5,0.0,1,8,0,0,0,1,2,2,264.0
2024-08-07,Beijing,264,79.9,241.5,16.4,17,8.7,0.0,2,8,0,0,0,1,2,2,112.0
2024-08-08,Beijing,112,193.0,93.4,16.5,78,9.0,0.0,3,8,0,0,0,1,2,2,98.0
2024-08-09,Beijing,98,242.1,148.3,-8.6,69,3.8,0.0,4,8,0,0,0,1,2,2,157.0
2024-08-10,Beijing,157,213.8,114.7,7.0,64,9.4,0.0,5,8,1,0,0,0,0,2,120.0
2024-08-11,Beijing,120,80.6,74.3,-5.4,13,7.6,0.0,6,8,1,0,0,0,0,2,135.0
2024-08-12,Beijing,135,150.2,190.2,24.9,80,14.0,0.0,0,8,0,0,0,1,2,2,85.0
2024-08-13,Beijing,85,231.9,78.0,39.3,57,1.4,0.0,1,8,0,0,0,1,2,2,102.0
2024-08-14,Beijing,102,99.2,78.2,32.4,45,12.8,0.0,2,8,0,0,0,1,2,2,127.0
2024-08-15,Beijing,127,143.5,86.1,22.9,73,1.6,0.0,3,8,0,0,0,1,2,2,201.0
2024-08-16,Beijing,201,208.7,104.8,25.1,17,3.8,0.0,4,8,0,0,0,1,2,2,150.0
2024-08-17,Beijing,150,52.1,45.7,33.1,49,6.1,0.0,5,8,1,0,0,0,0,2,70.0
2024-08-18,Beijing,70,11.1,294.5,14.5,42,3.9,0.0,6,8,1,0,0,0,0,2,60.0
2024-08-19,Beijing,60,30.9,268.4,5.4,64,13.5,0.0,0,8,0,0,0,1,2,2,69.0
2024-08-20,Beijing,69,222.7,211.8,25.6,88,11.8,0.0,1,8,0,0,0,1,2,2,32.0
2024-08-21,Beijing,32,96.0,91.6,15.1,13,9.1,0.0,2,8,0,0,0,1,2,2,191.0
2024-08-22,Beijing,191,222.2,20.5,33.2,85,11.3,0.0,3,8,0,0,0,1,2,2,235.0
2024-08-23,Beijing,235,195.2,145.8,36.2,58,9.3,0.0,4,8,0,0,0,1,2,2,100.0
2024-08-24,Beijing,100,64.5,54.6,26.8,81,4.0,0.0,5,8,1,0,0,0,0,2,145.0
2024-08-25,Beijing,145,66.2,62.2,-1.0,16,2.6,0.0,6,8,1,0,0,0,0,2,110.0
2024-08-26,Beijing,110,130.2,97.3,25.1,10,14.2,0.0,0,8,0,0,0,1,2,2,295.0
2024-08-27,Beijing,295,15.6,77.2,23.7,77,3.1,0.0,1,8,0,0,0,1,2,2,252.0
2024-08-28,Beijing,252,14.8,271.9,-5.1,66,6.5,0.0,2,8,0,0,0,1,2,2,137.0
2024-08-29,Beijing,137,87.8,78.9,31.5,47,10.5,0.0,3,8,0,0,0,1,2,2,91.0
2024-08-30,Beijing,91,179.5,26.4,34.2,58,1.5,0.0,4,8,0,0,0,1,2,2,61.0
2024-08-31,Beijing,61,8.5,220.6,9.3,20,14.4,0.0,5,8,1,0,0,0,0,2,275.0
2024-09-01,Beijing,275,60.9,119.6,36.1,14,5.9,0.0,6,9,1,0,0,0,0,2,137.0
2024-09-02,Beijing,137,104.1,222.8,14.2,48,8.8,0.0,0,9,0,0,0,1,2,2,161.0
